City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,eagle point,42.4726,-122.8028,12.66,84,75,0.45,US,1702335297
229,borzya,50.3833,116.5167,-33.42,99,50,1.21,RU,1702335298
230,ipu,-4.3222,-40.7108,28.01,51,48,1.61,BR,1702335299
231,tottenham,-32.2333,147.35,31.0,27,20,5.44,AU,1702335300
232,kununurra,-15.7667,128.7333,30.99,62,95,1.03,AU,1702335301
233,primero de mayo,-32.2552,-58.4228,23.11,69,5,3.41,AR,1702335303
234,zhob,31.3411,69.4481,7.83,31,32,2.02,PK,1702335304
235,rio tuba,8.5061,117.4317,27.4,78,38,6.52,PH,1702335305
236,port pirie,-33.1833,138.0167,20.64,57,88,3.97,AU,1702335307
237,huancavelica,-12.7667,-74.9833,7.71,77,84,2.41,PE,1702335308
238,eduardo castex,-35.915,-64.2945,29.84,26,0,6.03,AR,1702335309
239,belmonte,-15.8631,-38.8828,26.16,81,83,5.52,BR,1702335310
240,qamdo,31.1667,97.2333,-10.3,39,1,2.09,CN,1702335312
241,dunedin,-45.8742,170.5036,10.45,70,90,6.71,NZ,1702335313
242,jaguariaiva,-24.2511,-49.7058,18.8,91,79,4.24,BR,1702335314
243,labasa,-16.4167,179.3833,29.6,45,39,1.72,FJ,1702335315
244,burang,30.25,81.1667,-14.91,63,1,1.31,CN,1702335317
245,tropea,38.6754,15.8948,12.61,66,8,1.37,IT,1702335318
246,messini,37.0511,22.0078,12.32,93,4,2.57,GR,1702335319
247,tchintabaraden,15.8969,5.7985,17.27,34,0,6.39,NE,1702335320
248,portland,45.5234,-122.6762,12.34,91,100,2.24,US,1702335028
249,susuman,62.7833,148.1667,-21.68,96,100,2.24,RU,1702335322
250,luena,-11.7833,19.9167,18.1,94,0,0.51,AO,1702335324
251,zunyi,27.6867,106.9072,10.14,92,100,1.68,CN,1702335325
252,lerwick,60.1545,-1.1494,3.0,72,100,3.85,GB,1702335326
253,saldanha,-33.0117,17.9442,18.03,90,63,8.9,ZA,1702335327
254,tuy hoa,13.0833,109.3,22.71,91,52,1.63,VN,1702335329
255,acapulco de juarez,16.8634,-99.8901,28.48,66,98,1.65,MX,1702335319
256,tateyama,34.9833,139.8667,13.96,94,75,0.51,JP,1702335331
257,novoishimskiy,53.1981,66.7694,-30.27,96,27,3.52,KZ,1702335332
258,new glasgow,45.5834,-62.6486,14.32,86,100,14.66,CA,1702335333
259,luang prabang,19.8856,102.1347,20.39,99,14,0.32,LA,1702335335
260,nurota,40.5614,65.6886,-9.86,66,83,5.26,UZ,1702335336
261,sisimiut,66.9395,-53.6735,-0.97,92,100,8.53,GL,1702335337
262,rikaze,29.25,88.8833,-4.62,48,59,0.96,CN,1702335338
263,dien bien phu,21.3833,103.0167,18.95,96,3,0.62,VN,1702335339
264,sault ste. marie,46.5168,-84.3333,-1.69,74,75,4.12,CA,1702335263
265,tolanaro,-25.0319,46.9987,26.04,94,20,6.17,MG,1702335342
266,serenje,-13.2325,30.2352,17.1,92,75,1.05,ZM,1702335343
267,san martin jilotepeque,14.7878,-90.7925,17.99,83,62,2.83,GT,1702335344
268,kamikawa,43.84,142.7711,-5.44,83,100,0.64,JP,1702335345
269,aykhal,66.0,111.5,-26.03,98,100,2.04,RU,1702335346
270,monroeville,40.4212,-79.7881,1.14,64,100,2.06,US,1702335347
271,pisco,-13.7,-76.2167,22.03,73,0,10.29,PE,1702335348
272,idrinskoye,54.3708,92.1358,-36.14,99,53,0.58,RU,1702335349
273,nova vicosa,-17.8919,-39.3719,25.68,82,81,7.74,BR,1702335350
274,ebon,4.582,168.6964,27.06,85,92,8.78,MH,1702335351
